city,population,lat,lng
New York,18972871,40.6943,-73.9249
Los Angeles,12121244,34.1141,-118.4068
Chicago,8595181,41.8375,-87.6866
Miami,5711945,25.784,-80.2101
Dallas,5668165,32.7935,-96.7667
Houston,5650910,29.786,-95.3885
Philadelphia,5512873,40.0077,-75.1339
Atlanta,5046555,33.7628,-84.422
Washington,4810669,38.9047,-77.0163
Boston,4208580,42.3188,-71.0852
Phoenix,4047095,33.5722,-112.0892
Detroit,3522856,42.3834,-83.1024
Seattle,3438221,47.6211,-122.3244
San Francisco,3290197,37.7558,-122.4449
San Diego,3084174,32.8313,-117.1222
Minneapolis,2856952,44.9635,-93.2678
Brooklyn,2736074,40.6501,-73.9496
Tampa,2683956,27.9945,-82.4447
Denver,2650725,39.762,-104.8758
Queens,2405464,40.7498,-73.7976
Baltimore,2205092,39.3051,-76.6144
Las Vegas,2150373,36.2333,-115.2654
St. Louis,2092481,38.6359,-90.2451
Portland,2036875,45.5371,-122.65
Riverside,2022285,33.9381,-117.3949
Orlando,1927699,28.4773,-81.337
Sacramento,1924167,38.5677,-121.4685
San Antonio,1910785,29.4632,-98.5238
San Jose,1729879,37.3012,-121.848
Pittsburgh,1720279,40.4397,-79.9763
Cincinnati,1712287,39.1413,-84.506
Manhattan,1694263,40.7834,-73.9662
Cleveland,1683059,41.4764,-81.6805
Indianapolis,1659305,39.7771,-86.1458
Austin,1659251,30.3005,-97.7522
Kansas City,1644497,39.1238,-94.5541
Columbus,1556848,39.9862,-82.9855
Charlotte,1516107,35.2083,-80.8303
Virginia Beach,1500764,36.7335,-76.0435
Bronx,1472654,40.8501,-73.8662
Milwaukee,1340981,43.0642,-87.9675
Providence,1270149,41.823,-71.4187
Jacksonville,1220191,30.3322,-81.6749
Salt Lake City,1135344,40.7776,-111.9311
Nashville,1098486,36.1715,-86.7842
Raleigh,1062018,35.8324,-78.6429
Memphis,1034498,35.1087,-89.9663
Louisville,1022630,38.1663,-85.6485
Richmond,1008069,37.5295,-77.4756
Buffalo,1004655,42.9018,-78.8487
